ORIG_STD_VOLUME,STD_VOLUME,ORIG_TEMPERATURE,TEMPERATURE,PRESSURE,ORIG_PRESSURE,ORIG_RAW_VOLUME,RAW_VOLUME,EFFECTIVE_DATE
-2.0294326538205265,-2.027448991109048,-1.0064283708837847,-1.0064283708837847,0.336044743497849,0.336044743497849,-2.164088807435984,-2.161837045871059,2018-09-03 09:00:00
-1.9293096692475347,-1.9274541622513495,-0.9518261572682784,-0.9518261572682784,0.3699343119050515,0.3699343119050515,0.6472918123995495,0.6457909576023073,2018-09-03 10:00:00
-1.9206801176537938,-1.9188356564602156,-0.885618670340275,-0.885618670340275,0.34272829319672643,0.34272829319672643,0.8917596923852481,0.8899325231217305,2018-09-03 11:00:00
-1.9447173052552291,-1.9428420768145414,-0.881222253704643,-0.881222253704643,0.37545358656760475,0.37545358656760475,0.21268224798052987,0.2117615077899995,2018-09-03 12:00:00
-1.9483508006631196,-1.9464709214352545,-0.8811423711958111,-0.8811423711958111,0.3470255882292376,0.3470255882292376,0.11761140576386932,0.11681756564355715,2018-09-03 13:00:00
-1.9389547839905594,-1.9370869315328993,-0.8375430735963019,-0.8375430735963019,0.37424179010114655,0.37424179010114655,0.37566083463766226,0.37452255146961494,2018-09-03 14:00:00
-1.9340628862322347,-1.932201295397613,-0.7943331132696657,-0.7943331132696657,0.3562752951512503,0.3562752951512503,0.5114763235186058,0.5101567545359611,2018-09-03 15:00:00
-1.9207463286059494,-1.918901782874035,-0.7795051924380653,-0.7795051924380653,0.2887133991599684,0.2887133991599684,0.8986047631825775,0.8967684571538376,2018-09-03 16:00:00
-1.9394089709165456,-1.9375405372147065,-0.8266553035389861,-0.8266553035389861,0.2858417470292405,0.2858417470292405,0.36881576384033277,0.3676866174375079,2018-09-03 17:00:00
-1.9426419726119766,-1.9407694006088942,-0.8747884732622985,-0.8747884732622985,0.338553196127437,0.338553196127437,0.2805899924210017,0.2795786093231726,2018-09-03 18:00:00
